method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
sr_routed25,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.041828370295315484,0.008213423192501068,0.010299034416675568,0.018512457609176636,0.19631925225257874,1.0557496255003684e-07,2.3778214597314218e-07,3.010577898088229e-13,0.1115971440676102,25,hybrid,0.9034584164619446,68.86862497776747
fourier_shell2,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.08514451914867255,0.019155696034431458,0.021846704185009003,0.04100240021944046,0.2233586460351944,2.676821819758146e-08,1.2952183681136376e-07,3.010577898088229e-13,0.1115971440676102,19,not_applicable,nan,17.968042055144906
kinetic_fourier21,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-000,0.07257549586393769,0.01798170804977417,0.017981812357902527,0.0359635204076767,0.22381019592285156,4.090638938691882e-08,1.1450856618466787e-07,3.010577898088229e-13,0.1115971440676102,21,not_applicable,nan,21.486750105395913
fourier_shell3,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.051689866186274594,0.013874553143978119,0.01420273631811142,0.02807728946208954,0.27104800939559937,6.084215498081136e-08,2.255418820595878e-07,1.1581860470677441e-10,0.09008790386868666,37,not_applicable,nan,61.38820806518197
wang_xie_adapted,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.1849245153068227,0.03898989409208298,0.047102734446525574,0.08609262853860855,0.36647042632102966,1.5860027025027534e-07,3.235563497128169e-07,1.1581860470677441e-10,0.09008790386868666,2,not_applicable,nan,0.7930411957204342
dai_adapted,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.45253112420272057,0.04548950493335724,0.07217646390199661,0.11766596883535385,0.23626789450645447,7.164835336137543e-08,0.00011292088311165571,1.1581860470677441e-10,0.09008790386868666,6,not_applicable,nan,109.45016611367464
long_anchor,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.16584982577317425,0.031494997441768646,0.05007680505514145,0.0815718024969101,0.35361552238464355,6.4510996392595e-08,2.25345473836569e-07,1.1581860470677441e-10,0.09008790386868666,2,not_applicable,nan,0.9330420289188623
sc_narr_shell1,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.05463279754445944,0.01281408965587616,0.014222674071788788,0.027036763727664948,0.26446211338043213,1.4299870110257018e-07,1.0297802077730012e-07,1.1581860470677441e-10,0.09008790386868666,9,not_applicable,nan,37.297625094652176
sc_narr,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.05031790934412344,0.012462981045246124,0.013616405427455902,0.026079386472702026,0.2646668255329132,5.582329642983552e-08,1.1683318490440797e-07,1.1581860470677441e-10,0.09008790386868666,21,not_applicable,nan,53.33679192699492
sc_hybrid25,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.04874113716345359,0.011963792145252228,0.013468243181705475,0.025432035326957703,0.26487961411476135,1.1882767680937434e-07,1.2753012867960933e-07,1.1581860470677441e-10,0.09008790386868666,25,not_applicable,nan,60.87308400310576
sr_routed25,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.04874113716345359,0.011963792145252228,0.013468243181705475,0.025432035326957703,0.26487961411476135,1.1882767680937434e-07,1.2753012867960933e-07,1.1581860470677441e-10,0.09008790386868666,25,hybrid,0.9535636305809021,69.61079104803503
fourier_shell2,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.08363220388018856,0.020235657691955566,0.02189905196428299,0.042134709656238556,0.26695412397384644,1.7815263819720428e-07,1.173291650502506e-07,1.1581860470677441e-10,0.09008790386868666,19,not_applicable,nan,17.75837503373623
kinetic_fourier21,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.07428423988058327,0.019454888999462128,0.019454985857009888,0.038909874856472015,0.2701103091239929,6.719767875473792e-08,5.20670866421824e-08,1.1581860470677441e-10,0.09008790386868666,21,not_applicable,nan,21.271042060106993
kinetic_fourier25,gaussian_honeycomb,42,exact_cluster,v3-pilot-gaussian_honeycomb-exact-001,0.06203718538579617,0.01681794971227646,0.016818054020404816,0.033636003732681274,0.2727651596069336,4.534262187938509e-08,1.425905793439597e-07,1.1581860470677441e-10,0.09008790386868666,27,not_applicable,nan,33.740249928086996
kinetic_fourier21,gaussian_honeycomb,42,near_cluster,v3-pilot-gaussian_honeycomb-near-000,0.15924796864843735,0.0683547705411911,0.06922946125268936,0.13758423924446106,0.4157339632511139,7.424058501293018e-08,2.448216264383518e-06,0.004245626419986992,0.23974813148238117,21,not_applicable,nan,21.601415937766433
