method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
wang_xie_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.03834628861711241,0.0022772550582885742,0.0019190609455108643,0.0041963160037994385,0.048050303012132645,1.676773586645197e-08,8.590676969788547e-08,0.0018250121502267624,0.3320882136978962,2,not_applicable,nan,1.0683536529541016
dai_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.2877943013342343,0.04055631160736084,0.0979255884885788,0.13848190009593964,0.23186181485652924,8.525358641264802e-08,0.00012932519894093275,0.0018250121502267624,0.3320882136978962,6,not_applicable,nan,127.86095403134823
long_anchor,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.06317194325920322,0.004524305462837219,0.005131527781486511,0.00965583324432373,0.06507103145122528,1.4434280792841037e-07,7.433133220047239e-08,0.0018250121502267624,0.3320882136978962,2,not_applicable,nan,1.1934153735637665
sc_narr_shell1,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.03550793557810341,0.00267985463142395,0.001600116491317749,0.004279971122741699,0.04837654158473015,3.617132215971708e-08,1.8425659220611124e-07,0.0018250121502267624,0.3320882136978962,9,not_applicable,nan,44.98634487390518
sc_narr,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.014296844830966113,0.0008398443460464478,0.0003600269556045532,0.001199871301651001,0.03131364658474922,9.424944069635899e-08,9.361172459421141e-08,0.0018250121502267624,0.3320882136978962,21,not_applicable,nan,110.52797921001911
sc_hybrid25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.006377589265158529,0.00013788044452667236,0.0001513361930847168,0.00028921663761138916,0.01676819659769535,9.820549173866766e-08,1.212432749753134e-07,0.0018250121502267624,0.3320882136978962,25,not_applicable,nan,130.606884136796
sr_routed25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.00584057343756515,8.444488048553467e-05,0.0001528412103652954,0.00023728609085083008,0.014852024614810944,1.269012916971235e-08,5.311735407076412e-08,0.0018250121502267624,0.3320882136978962,25,fourier,3.698347441553722e-14,159.18084792792797
fourier_shell2,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.027812445336612333,0.0014853477478027344,0.0020412057638168335,0.003526553511619568,0.048559822142124176,9.420939828252983e-08,8.993028899340061e-08,0.0018250121502267624,0.3320882136978962,19,not_applicable,nan,71.77372090518475
kinetic_fourier21,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-004,0.009249372015417364,0.00027742981910705566,0.0002769678831100464,0.000554397702217102,0.021612117066979408,1.2795712955870897e-07,6.274898822766772e-08,0.0018250121502267624,0.3320882136978962,21,not_applicable,nan,75.89329034090042
fourier_shell3,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.0027072917999423265,2.682209014892578e-05,4.45246696472168e-05,7.134675979614258e-05,0.00950353778898716,7.769489474007685e-08,4.5831747286229074e-08,0.003290319276318454,0.35742662457088814,37,not_applicable,nan,215.2230329811573
wang_xie_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.039083564822935006,0.0031052380800247192,0.0021537989377975464,0.005259037017822266,0.05583883449435234,1.3239409279997005e-07,7.612592156647224e-08,0.003290319276318454,0.35742662457088814,2,not_applicable,nan,1.044413074851036
dai_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.30975900338768486,0.05856242775917053,0.11573956161737442,0.17430198192596436,0.25226399302482605,9.366641084973537e-08,0.0006458965945057571,0.003290319276318454,0.35742662457088814,6,not_applicable,nan,126.44243985414505
long_anchor,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.06633916906496526,0.005632445216178894,0.0064432621002197266,0.01207570731639862,0.07471218705177307,1.2078954192418223e-07,1.0873282008105889e-07,0.003290319276318454,0.35742662457088814,2,not_applicable,nan,1.2237653136253357
sc_narr_shell1,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-005,0.03818803896391219,0.00398939847946167,0.0014744400978088379,0.005463838577270508,0.05695182830095291,6.288507525820108e-08,1.028292260230046e-07,0.003290319276318454,0.35742662457088814,9,not_applicable,nan,44.893791899085045
